,index,0
0,2019-01-01,170
1,2019-01-02,236
2,2019-01-03,113
3,2019-01-04,73
4,2019-01-05,105
5,2019-01-06,125
6,2019-01-07,115
7,2019-01-08,69
8,2019-01-09,62
9,2019-01-10,47
10,2019-01-11,69
11,2019-01-12,114
12,2019-01-13,163
13,2019-01-14,94
14,2019-01-15,66
15,2019-01-16,64
16,2019-01-17,43
17,2019-01-18,81
18,2019-01-19,97
19,2019-01-20,87
20,2019-01-27,58
21,2019-01-28,152
22,2019-01-29,94
23,2019-01-30,175
24,2019-01-31,118
25,2019-02-01,132
26,2019-02-02,70
27,2019-02-03,88
28,2019-02-04,72
29,2019-02-05,80
30,2019-02-06,76
31,2019-02-07,85
32,2019-02-08,104
33,2019-02-09,75
34,2019-02-10,89
35,2019-02-11,82
36,2019-02-12,83
37,2019-02-13,108
38,2019-02-14,69
39,2019-02-15,67
40,2019-02-16,60
41,2019-02-17,85
42,2019-02-18,129
43,2019-02-19,142
44,2019-02-20,64
45,2019-02-21,125
46,2019-02-22,118
47,2019-02-23,93
48,2019-02-24,63
49,2019-02-25,82
50,2019-02-26,202
51,2019-02-27,49
52,2019-02-28,60
53,2019-03-01,90
54,2019-03-02,122
55,2019-03-03,77
56,2019-03-04,106
57,2019-03-05,145
58,2019-03-06,102
59,2019-03-07,143
60,2019-03-08,171
61,2019-03-09,177
62,2019-03-10,1053
63,2019-03-11,696
64,2019-03-12,520
65,2019-03-13,783
66,2019-03-14,385
67,2019-03-15,455
68,2019-03-16,432
69,2019-03-17,337
70,2019-03-18,352
71,2019-03-19,316
72,2019-03-20,382
73,2019-03-21,655
74,2019-03-22,406
75,2019-03-23,351
76,2019-03-24,338
77,2019-03-25,471
78,2019-03-26,458
79,2019-03-27,349
80,2019-03-28,329
81,2019-03-29,349
82,2019-03-30,293
83,2019-03-31,393
84,2019-04-01,348
85,2019-04-02,618
86,2019-04-03,526
87,2019-04-04,560
88,2019-04-05,528
89,2019-04-06,380
90,2019-04-07,364
91,2019-04-08,915
92,2019-04-09,476
93,2019-04-10,533
94,2019-04-11,2205
95,2019-04-12,411
96,2019-04-16,189
97,2019-04-17,548
98,2019-04-18,2409
99,2019-04-19,473
100,2019-04-21,220
101,2019-04-22,459
102,2019-04-23,2766
103,2019-04-24,356
104,2019-04-25,387
105,2019-04-26,375
106,2019-04-27,382
107,2019-04-28,592
108,2019-04-29,2441
109,2019-04-30,448
110,2019-05-01,453
111,2019-05-02,227
112,2019-05-03,242
113,2019-05-04,234
114,2019-05-05,307
115,2019-05-06,1554
116,2019-05-07,301
117,2019-05-08,274
118,2019-05-09,283
119,2019-05-10,309
120,2019-05-11,279
121,2019-05-12,1888
122,2019-05-13,495
123,2019-05-14,489
124,2019-05-15,437
125,2019-05-16,464
126,2019-05-17,525
