,2019-01-01,2019-01-02,2019-01-03,2019-01-04,2019-01-05,2019-01-06,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-12,2019-01-13,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-19,2019-01-20,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-26,2019-01-27,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-02,2019-02-03,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-09,2019-02-10,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-16,2019-02-17,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-23,2019-02-24,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-05,2019-04-06,2019-04-07,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-13,2019-04-14,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-20,2019-04-21,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-27,2019-04-28,2019-04-29,2019-04-30,2019-05-01,2019-05-02,2019-05-03,2019-05-04,2019-05-05,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-11,2019-05-12,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-18,2019-05-19
#LokSabhaElections2019,0,0,0,0,0,6,8,12,14,16,17,19,22,26,27,33,35,41,45,45,45,45,45,45,45,45,47,52,59,61,67,71,78,80,87,95,102,109,118,120,121,129,135,146,153,159,162,166,174,181,182,184,191,193,194,201,210,212,217,224,226,228,228,228,228,228,228,228,346,395,415,440,458,481,500,515,534,555,589,618,642,661,673,700,728,750,776,793,825,839,861,900,913,928,950,977,988,1024,1064,1104,1213,1236,1261,1261,1261,1268,1298,1388,1413,1470,1488,1512,1594,1613,1646,1672,1679,1692,1763,1771,1787,1799,1807,1829,1842,1880,1898,1925,1944,1970,1988,2039,2062,2080,2101,2135,2154,2171,2171
#BJP,2,5,6,7,9,15,18,18,18,18,19,21,21,22,23,26,27,28,30,30,30,30,30,30,30,30,31,35,38,38,39,40,42,44,45,47,47,49,52,56,57,57,57,59,60,60,63,68,75,85,85,86,88,89,89,90,93,93,93,93,103,104,104,104,104,104,104,104,108,110,114,116,118,122,126,132,134,138,141,151,160,164,165,170,181,185,190,192,194,197,201,202,205,205,209,210,214,400,406,409,419,422,425,425,425,426,432,436,437,439,439,444,462,464,466,467,471,472,479,483,483,485,485,485,486,490,491,491,491,493,494,497,498,502,504,509,511,512,512
#LokSabha,6,8,14,21,29,36,36,37,39,40,40,42,42,44,44,45,45,47,50,52,52,52,52,52,52,52,52,55,58,62,66,68,70,70,71,73,75,77,82,85,86,87,87,89,90,90,90,95,95,99,101,103,104,105,105,108,110,110,111,112,118,122,122,122,122,122,122,122,157,170,180,184,190,192,197,199,204,208,218,226,234,235,237,241,245,247,248,252,256,261,266,270,272,275,281,289,294,297,302,306,318,320,321,321,321,323,323,330,332,341,343,347,349,353,356,358,360,362,366,369,369,369,369,371,372,373,373,374,376,376,377,382,384,386,387,389,396,400,400
#Elections2019,0,1,1,1,2,2,2,2,4,5,5,6,6,8,8,9,9,9,11,11,11,11,11,11,11,11,11,12,12,13,13,13,14,14,14,17,19,19,21,22,22,23,24,24,25,25,25,26,27,29,29,29,31,31,31,31,31,31,31,31,32,34,34,34,34,34,34,34,73,90,99,102,102,107,116,118,120,121,125,128,131,133,134,137,142,146,150,152,155,158,163,167,169,174,176,177,179,185,188,195,217,219,219,219,219,222,225,241,248,251,251,256,269,271,272,274,276,278,293,297,299,299,300,304,305,311,312,313,316,320,320,327,330,335,342,345,347,349,349
#loksabhaelections2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,7,10,11,14,14,15,15,17,20,22,26,27,28,28,29,31,31,34,34,34,34,36,37,39,41,43,47,49,50,51,52,52,66,68,68,68,68,68,70,123,125,126,126,139,180,183,184,184,186,189,238,239,241,242,246,251,252,297,299,300,303,303,303,309,309,310,311,312,313,315,315
#elections,2,2,2,2,5,6,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,13,15,15,16,17,18,18,19,19,19,20,21,21,21,21,21,21,21,21,24,24,26,26,26,26,26,26,27,28,28,28,28,28,30,30,30,30,30,30,30,35,42,46,49,49,52,52,52,52,53,53,55,55,55,55,55,55,59,61,62,63,65,65,68,69,73,75,75,77,80,81,81,92,92,92,92,92,93,93,157,157,158,158,161,207,210,210,210,210,211,213,213,213,213,213,213,213,254,256,257,257,257,259,301,301,302,302,303,306,309,309
#BJPSankalpPatr2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,302,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304
#NarendraModi,2,3,3,4,4,7,11,12,12,12,12,13,13,13,14,15,16,16,18,18,18,18,18,18,18,18,18,18,20,20,22,22,24,24,24,24,24,25,28,29,29,29,30,32,32,32,32,32,33,33,33,35,35,35,36,36,39,39,39,39,39,39,39,39,39,39,39,39,39,43,45,47,48,49,52,52,52,52,52,54,56,56,57,57,58,58,61,62,62,63,66,66,67,67,69,69,70,239,241,241,245,246,247,247,247,247,249,249,250,250,250,250,254,255,257,258,259,262,262,262,263,264,264,264,265,267,268,268,269,270,270,271,273,273,274,275,277,277,277
#LokSabhaElection2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,10,11,15,15,22,23,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,50,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,74,80,89,93,95,96,98,102,106,108,114,120,123,128,128,132,137,138,140,143,143,150,155,156,157,160,160,166,166,171,173,178,186,186,187,187,187,187,191,194,195,200,200,202,209,211,211,213,215,217,224,225,225,225,225,226,228,231,231,231,232,234,234,236,237,239,240,241,246,251,251
#BJPManifesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,228,232,232,232,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233
